State,Action_0,Action_1,Action_2
39,1121.955549496576,1005.1174059924418,972.9988215715491
40,1145.1913096637002,1106.8635465213097,1082.6160510916889
41,-0.1616955196098795,-0.5008005602441943,-0.2921820418122667
42,90.14896323223539,-0.6140637186440545,0.40414167161839964
43,1165.4337293154078,1123.459354446481,1107.9370706004993
44,0.28240525702542807,0.39324076872035296,-0.28888161451361727
45,-0.3820559332627542,0.41166733450317206,-0.8477839268898233
46,1129.1759128682015,1220.2011321058658,1128.7083689644896
47,-0.7657484980124609,0.06406280563297839,-0.36195756710525684
48,-0.7963405206117098,-0.1040226599362406,-0.8305418653641725
49,1066.4703140364572,855.7403287142895,952.2311581473739
50,0.20652519198687447,-0.5970850076126633,0.6573984774884813
51,0.92222334171505,0.06397340466853962,0.20307038114378795
52,955.9753325966626,-0.6834964135137525,240.0251510454998
53,432.2690708175039,623.8927789302373,1054.0232300007187
54,1000.3091949030177,36.92046562539023,95.51865120229395
55,0.6635477429122265,0.24937134280433404,-0.4379021642378713
56,-0.76858056911871,0.9109159673296454,0.8513137804783648
57,1115.5014724515736,832.6119896111122,718.3322973637271
58,1100.8067112130198,746.2609654584753,349.5356730861971
59,0.4887963979723686,-0.46260020684105774,0.7799950179913957
60,360.68073857648244,-0.9173652142712863,-0.1312311033911423
61,1153.741981803212,941.487897093531,763.0280342100989
62,0.9799021594068471,0.47109087792427573,0.9030268554596181
63,0.8275111635908134,-0.5440546062141227,0.8767877652807929
64,1164.3745328642713,1095.4876321990705,893.9229524857287
65,-0.9570432881856228,-0.9393609828546565,-0.5180283723400554
66,-0.7163307956809866,-0.3965334515289476,-0.563639990569107
67,1081.4188286310334,227.99514613386648,265.0496382971569
68,0.013660582072386296,-0.14424615576944944,0.3039439723685369
69,0.7956267091592921,-0.936534194217097,0.5977853775813973
70,927.1306058017819,70.6865181971352,117.63663613783085
71,1081.7044672613995,595.0646932049794,148.89639070462812
72,469.40648755121833,5.815835586170169,-0.8204818743605323
73,0.7598195038690112,0.10949342446630905,-0.45483845851561977
74,-0.2811841960270296,-0.3192403994175781,-0.17796540633893354
75,1016.9393320871176,382.2012183013717,34.07270847642482
76,0.703549344584895,0.0432008482811137,-0.15403531537333293
77,0.5833607510810532,-0.6934461139105024,0.5179545575660058
78,357.03181066431307,6.679149997897608,0.698731554421584
79,975.6700166864057,140.89515384095535,31.84898189452505
80,-0.668867030510299,-0.6162160948809179,-0.1189533691695357
81,-0.1482283814369869,0.6390882658987178,0.25964181336253866
82,1058.2575357194078,309.2642183043893,73.09905168871882
83,0.7452711956936908,0.7513242911176838,-0.28929561443767793
84,-0.30066390453707337,-0.773397036245602,-0.672553951528305
85,106.98125246531609,4.511220268619034,36.095556498030895
86,0.6119708329958535,-0.3898673636830783,-0.3088759148915121
87,0.8233644294679456,0.007768797374550163,-0.23374473128298456
88,3.6572427121968674,-0.9618345516948501,87.74752860275319
89,0.8740051882996278,-0.7781309927923141,-0.8455990608326804
90,26.145120896651648,-1.7332478765205603,0.45304922325870833
91,0.05933589421225305,-0.7010030621482584,-0.9351235931109421
92,0.47085794095866174,0.5461880906207528,0.5191893092868456
93,224.71420984487656,15.230392511335094,8.353898678122077
94,0.6103457813145943,0.4598910373286116,-0.31186367602782705
95,-0.91623562742093,-0.7402139954952909,-0.41595885107640806
96,352.3402787657202,0.6555415855504134,1.0792469907493376
97,103.66538373071288,-0.24406183380415775,0.46024593439775296
98,-0.789770826344119,0.4979925948199708,0.939488434355725
99,-0.24110114372043268,0.40730605304535783,-0.6725985870627222
100,235.78355829702656,37.88072684230296,63.10380923980604
101,-0.739611971058088,-0.9692844174429918,0.7031429953649386
102,0.013846571794688733,0.5974741527146488,0.3166049170409928
103,0.30174244787671545,4.760127713100641,28.1588715856531
104,-0.705695293698126,-0.5034507160442632,-0.0288896173490778
105,-0.8910740919658275,0.8843298102680606,-0.7146917536729742
106,3.4991403817550903,15.157278123896491,7.2292382024113735
107,-0.8379801292780129,0.3628246324001654,0.7240583053274647
